Date : 2025-01-26 18:46:03
Directory : /home/clr/projects/movie-app
Total : 220 files,  19006 codes, 588 comments, 1601 blanks, all 21195 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/clr/projects/movie-app/lib/fetchers/tmdb.ts                                                               | TypeScript         |        224 |          0 |         40 |        264 |
| /home/clr/projects/movie-app/lib/functions.ts                                                                   | TypeScript         |        259 |          0 |         46 |        305 |
| /home/clr/projects/movie-app/lib/hooks/use-content-fetch.ts                                                     | TypeScript         |          0 |         27 |          0 |         27 |
| /home/clr/projects/movie-app/lib/hooks/use-filter-state.ts                                                      | TypeScript         |         78 |          0 |         18 |         96 |
| /home/clr/projects/movie-app/lib/hooks/use-follow.ts                                                            | TypeScript         |         35 |          0 |          6 |         41 |
| /home/clr/projects/movie-app/lib/hooks/use-friend.ts                                                            | TypeScript         |         36 |          0 |          5 |         41 |
| /home/clr/projects/movie-app/lib/hooks/use-isomorphic.ts                                                        | TypeScript         |          3 |          0 |          1 |          4 |
| /home/clr/projects/movie-app/lib/hooks/use-media-query.ts                                                       | TypeScript         |         47 |          3 |         11 |         61 |
| /home/clr/projects/movie-app/lib/hooks/use-pagination.ts                                                        | TypeScript         |         10 |          1 |          4 |         15 |
| /home/clr/projects/movie-app/lib/hooks/use-rating.ts                                                            | TypeScript         |         21 |          0 |          4 |         25 |
| /home/clr/projects/movie-app/lib/hooks/use-review.ts                                                            | TypeScript         |         25 |          0 |          5 |         30 |
| /home/clr/projects/movie-app/lib/hooks/use-search-results.ts                                                    | TypeScript         |         32 |          0 |          8 |         40 |
| /home/clr/projects/movie-app/lib/hooks/use-toast.ts                                                             | TypeScript         |        160 |          3 |         32 |        195 |
| /home/clr/projects/movie-app/lib/hooks/use-user-friend.ts                                                       | TypeScript         |         29 |          0 |          4 |         33 |
| /home/clr/projects/movie-app/lib/hooks/use-watched.ts                                                           | TypeScript         |         50 |          0 |          6 |         56 |
| /home/clr/projects/movie-app/lib/hooks/use-watchlist.ts                                                         | TypeScript         |         30 |          0 |          5 |         35 |
| /home/clr/projects/movie-app/lib/schemas.ts                                                                     | TypeScript         |         15 |          0 |          1 |         16 |
| /home/clr/projects/movie-app/lib/session.ts                                                                     | TypeScript         |         45 |          0 |          8 |         53 |
| /home/clr/projects/movie-app/lib/types/auth.ts                                                                  | TypeScript         |         13 |          0 |          0 |         13 |
| /home/clr/projects/movie-app/lib/types/cast.ts                                                                  | TypeScript         |         14 |          0 |          1 |         15 |
| /home/clr/projects/movie-app/lib/types/content.ts                                                               | TypeScript         |         35 |          0 |          5 |         40 |
| /home/clr/projects/movie-app/lib/types/crew.ts                                                                  | TypeScript         |         14 |          0 |          1 |         15 |
| /home/clr/projects/movie-app/lib/types/episode.ts                                                               | TypeScript         |         10 |          0 |          0 |         10 |
| /home/clr/projects/movie-app/lib/types/filter.ts                                                                | TypeScript         |          4 |          0 |          5 |          9 |
| /home/clr/projects/movie-app/lib/types/image.ts                                                                 | TypeScript         |          8 |          0 |          0 |          8 |
| /home/clr/projects/movie-app/lib/types/movie.ts                                                                 | TypeScript         |         67 |          0 |          3 |         70 |
| /home/clr/projects/movie-app/lib/types/people.ts                                                                | TypeScript         |         77 |          0 |          2 |         79 |
| /home/clr/projects/movie-app/lib/types/provider.ts                                                              | TypeScript         |         16 |          0 |          3 |         19 |
| /home/clr/projects/movie-app/lib/types/season.ts                                                                | TypeScript         |         10 |          0 |          1 |         11 |
| /home/clr/projects/movie-app/lib/types/session.ts                                                               | TypeScript         |          9 |          0 |          0 |          9 |
| /home/clr/projects/movie-app/lib/types/tv.ts                                                                    | TypeScript         |         82 |          0 |          3 |         85 |
| /home/clr/projects/movie-app/lib/types/user.ts                                                                  | TypeScript         |         36 |          0 |          0 |         36 |
| /home/clr/projects/movie-app/lib/types/video.ts                                                                 | TypeScript         |          6 |          0 |          0 |          6 |
| /home/clr/projects/movie-app/lib/utils.ts                                                                       | TypeScript         |          6 |          0 |          3 |          9 |
| /home/clr/projects/movie-app/middleware.ts                                                                      | TypeScript         |         11 |          0 |          3 |         14 |
| /home/clr/projects/movie-app/next.config.mjs                                                                    | JavaScript         |         19 |          1 |          2 |         22 |
| /home/clr/projects/movie-app/package-lock.json                                                                  | JSON               |      7,783 |          0 |          1 |      7,784 |
| /home/clr/projects/movie-app/package.json                                                                       | JSON               |         64 |          0 |          1 |         65 |
| /home/clr/projects/movie-app/postcss.config.mjs                                                                 | JavaScript         |          6 |          1 |          2 |          9 |
| /home/clr/projects/movie-app/prisma/migrations/20241119113718_init/migration.sql                                | MS SQL             |         36 |          8 |         12 |         56 |
| /home/clr/projects/movie-app/prisma/migrations/20241120131137_updated_unique_email/migration.sql                | MS SQL             |          1 |          7 |          1 |          9 |
| /home/clr/projects/movie-app/prisma/migrations/20241122010316_edited_review_length/migration.sql                | MS SQL             |          1 |          1 |          1 |          3 |
| /home/clr/projects/movie-app/prisma/migrations/20241122111439_added_watchlist/migration.sql                     | MS SQL             |          8 |          2 |          3 |         13 |
| /home/clr/projects/movie-app/prisma/migrations/20241123130815_genres_and_content/migration.sql                  | MS SQL             |          8 |         10 |          3 |         21 |
| /home/clr/projects/movie-app/prisma/migrations/20241123131137_format_tables_name/migration.sql                  | MS SQL             |         52 |         30 |         25 |        107 |
| /home/clr/projects/movie-app/prisma/migrations/20241126153713_added_unique_person/migration.sql                 | MS SQL             |          3 |          8 |          1 |         12 |
| /home/clr/projects/movie-app/prisma/migrations/20241128190014_removed_genres_duration_removed_ids/migration.sql | MS SQL             |         19 |         19 |         10 |         48 |
| /home/clr/projects/movie-app/prisma/migrations/20241206200321_added_content_to_genres/migration.sql             | MS SQL             |         11 |          4 |          5 |         20 |
| /home/clr/projects/movie-app/prisma/migrations/20241206233843_edited_content_to_genre/migration.sql             | MS SQL             |          6 |         11 |          4 |         21 |
| /home/clr/projects/movie-app/prisma/migrations/20241208111757_added_watchlist_name/migration.sql                | MS SQL             |          1 |          7 |          1 |          9 |
| /home/clr/projects/movie-app/prisma/migrations/20241211134953_added_id_relatioship/migration.sql                | MS SQL             |          3 |          8 |          1 |         12 |
| /home/clr/projects/movie-app/prisma/migrations/20241226174736_feature_content_id/migration.sql                  | MS SQL             |          1 |          1 |          1 |          3 |
| /home/clr/projects/movie-app/prisma/migrations/20241226175219_feature_content_type/migration.sql                | MS SQL             |          1 |          1 |          1 |          3 |
| /home/clr/projects/movie-app/prisma/schema.prisma                                                               | Prisma             |         93 |          0 |         23 |        116 |
| /home/clr/projects/movie-app/tailwind.config.ts                                                                 | TypeScript         |         62 |          0 |          2 |         64 |
| /home/clr/projects/movie-app/tsconfig.json                                                                      | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                                                           |                    |     19,006 |        588 |      1,601 |     21,195 |
+-----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
