Date : 2025-01-26 18:46:03
Directory : /home/clr/projects/movie-app
Total : 220 files,  19006 codes, 588 comments, 1601 blanks, all 21195 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/clr/projects/movie-app/components.json                                                                    | JSON               |         20 |          0 |          0 |         20 |
| /home/clr/projects/movie-app/components/DropdownMenu.tsx                                                        | TypeScript JSX     |         45 |          0 |          8 |         53 |
| /home/clr/projects/movie-app/components/SelectedFilters.tsx                                                     | TypeScript JSX     |         28 |          0 |          4 |         32 |
| /home/clr/projects/movie-app/components/auth/auth-modal.tsx                                                     | TypeScript JSX     |         59 |          0 |         10 |         69 |
| /home/clr/projects/movie-app/components/auth/login-form.tsx                                                     | TypeScript JSX     |         49 |          0 |          9 |         58 |
| /home/clr/projects/movie-app/components/auth/logout-modal.tsx                                                   | TypeScript JSX     |         49 |          0 |         11 |         60 |
| /home/clr/projects/movie-app/components/auth/register-form.tsx                                                  | TypeScript JSX     |         71 |          0 |         12 |         83 |
| /home/clr/projects/movie-app/components/cards/content-card-skeleton.tsx                                         | TypeScript JSX     |         11 |          0 |          2 |         13 |
| /home/clr/projects/movie-app/components/cards/content-card.tsx                                                  | TypeScript JSX     |         73 |          0 |          5 |         78 |
| /home/clr/projects/movie-app/components/cards/content-user-card.tsx                                             | TypeScript JSX     |         23 |          0 |          6 |         29 |
| /home/clr/projects/movie-app/components/cards/movie-card.tsx                                                    | TypeScript JSX     |         48 |          1 |          4 |         53 |
| /home/clr/projects/movie-app/components/cards/multi-card-skeleton.tsx                                           | TypeScript JSX     |         17 |          0 |          2 |         19 |
| /home/clr/projects/movie-app/components/cards/multi-card.tsx                                                    | TypeScript JSX     |         71 |          0 |          5 |         76 |
| /home/clr/projects/movie-app/components/cards/orizontal-card.tsx                                                | TypeScript JSX     |         83 |          0 |          6 |         89 |
| /home/clr/projects/movie-app/components/cards/people-card.tsx                                                   | TypeScript JSX     |         17 |          0 |          4 |         21 |
| /home/clr/projects/movie-app/components/cards/person-card.tsx                                                   | TypeScript JSX     |         17 |          0 |          4 |         21 |
| /home/clr/projects/movie-app/components/cards/rating-card.tsx                                                   | TypeScript JSX     |         30 |          0 |          5 |         35 |
