"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "MS SQL", "Prisma", "JSON", "JavaScript", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/home/clr/projects/movie-app/auth.config.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/home/clr/projects/movie-app/auth.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/clr/projects/movie-app/components.json", "JSON", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"/home/clr/projects/movie-app/components/DropdownMenu.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"/home/clr/projects/movie-app/components/SelectedFilters.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/home/clr/projects/movie-app/components/auth/auth-modal.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 69
"/home/clr/projects/movie-app/components/auth/login-form.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 58
"/home/clr/projects/movie-app/components/auth/logout-modal.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 60
"/home/clr/projects/movie-app/components/auth/register-form.tsx", "TypeScript JSX", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 83
"/home/clr/projects/movie-app/components/cards/content-card-skeleton.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/clr/projects/movie-app/components/cards/content-card.tsx", "TypeScript JSX", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 78
"/home/clr/projects/movie-app/components/cards/content-user-card.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/home/clr/projects/movie-app/components/cards/movie-card.tsx", "TypeScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 53
"/home/clr/projects/movie-app/components/cards/multi-card-skeleton.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/clr/projects/movie-app/components/cards/multi-card.tsx", "TypeScript JSX", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 76
"/home/clr/projects/movie-app/components/cards/orizontal-card.tsx", "TypeScript JSX", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 89
"/home/clr/projects/movie-app/components/cards/people-card.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/home/clr/projects/movie-app/components/cards/person-card.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/home/clr/projects/movie-app/components/cards/rating-card.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/home/clr/projects/movie-app/components/cards/review-card.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/home/clr/projects/movie-app/components/cards/simple-content-card.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/home/clr/projects/movie-app/components/cards/simple-orizontal-card.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/home/clr/projects/movie-app/components/cards/tv-card.tsx", "TypeScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 54
"/home/clr/projects/movie-app/components/cards/working-person-card.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"/home/clr/projects/movie-app/components/content/body.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"/home/clr/projects/movie-app/components/content/carousel-vertical.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"/home/clr/projects/movie-app/components/content/combobox-filters.tsx", "TypeScript JSX", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 106
"/home/clr/projects/movie-app/components/content/content-display.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/home/clr/projects/movie-app/components/content/content-header.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/home/clr/projects/movie-app/components/content/content-infos.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"/home/clr/projects/movie-app/components/content/content-navbar.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"/home/clr/projects/movie-app/components/content/content-prod-logos.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/home/clr/projects/movie-app/components/content/filters-section.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"/home/clr/projects/movie-app/components/content/filters-sidebar.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"/home/clr/projects/movie-app/components/content/filters.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"/home/clr/projects/movie-app/components/content/overview-modal.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/home/clr/projects/movie-app/components/content/provider-modal.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"/home/clr/projects/movie-app/components/content/provider-section.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"/home/clr/projects/movie-app/components/content/range-date-picker.tsx", "TypeScript JSX", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 105
"/home/clr/projects/movie-app/components/content/render-stars.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/home/clr/projects/movie-app/components/content/review-modal.tsx", "TypeScript JSX", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 72
"/home/clr/projects/movie-app/components/content/similar-content-section.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"/home/clr/projects/movie-app/components/content/toggle-watchlist.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/home/clr/projects/movie-app/components/content/user-section.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"/home/clr/projects/movie-app/components/content/video-section.tsx", "TypeScript JSX", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 109
"/home/clr/projects/movie-app/components/content/year-input.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 36, 9, 73
"/home/clr/projects/movie-app/components/landing-page/body.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/home/clr/projects/movie-app/components/layout/background.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 18
"/home/clr/projects/movie-app/components/layout/bg-player.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 64
"/home/clr/projects/movie-app/components/layout/content-background.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/home/clr/projects/movie-app/components/layout/image-with-loader.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/home/clr/projects/movie-app/components/layout/loader.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/clr/projects/movie-app/components/layout/pagination-wrapper.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/clr/projects/movie-app/components/layout/searchbar-wrapper.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/clr/projects/movie-app/components/layout/sidebar-wrapper.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/clr/projects/movie-app/components/layout/sidebar.tsx", "TypeScript JSX", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 145
"/home/clr/projects/movie-app/components/movie/body.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"/home/clr/projects/movie-app/components/movie/movie-sort-input.tsx", "TypeScript JSX", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 102
"/home/clr/projects/movie-app/components/people/carousel-wrapper.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/home/clr/projects/movie-app/components/people/credits-list.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"/home/clr/projects/movie-app/components/people/ext-links-list.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"/home/clr/projects/movie-app/components/people/known-section.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/home/clr/projects/movie-app/components/people/past-works.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"/home/clr/projects/movie-app/components/people/person-header.tsx", "TypeScript JSX", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 61
"/home/clr/projects/movie-app/components/people/toggle-follow.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/home/clr/projects/movie-app/components/search-section/body.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/home/clr/projects/movie-app/components/search-section/multi-grid.tsx", "TypeScript JSX", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/home/clr/projects/movie-app/components/search-section/multi-skeleton-grid.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/clr/projects/movie-app/components/search-section/user-list.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/home/clr/projects/movie-app/components/theme/theme-provider.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/clr/projects/movie-app/components/theme/toggle-theme.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/clr/projects/movie-app/components/tv/body.tsx", "TypeScript JSX", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 68
"/home/clr/projects/movie-app/components/tv/season-modal.tsx", "TypeScript JSX", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 111
"/home/clr/projects/movie-app/components/tv/seasons-section.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"/home/clr/projects/movie-app/components/tv/tv-sort-input.tsx", "TypeScript JSX", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 98
"/home/clr/projects/movie-app/components/ui/button.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"/home/clr/projects/movie-app/components/ui/calendar.tsx", "TypeScript JSX", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 73
"/home/clr/projects/movie-app/components/ui/card.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 77
"/home/clr/projects/movie-app/components/ui/carousel.tsx", "TypeScript JSX", 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 263
"/home/clr/projects/movie-app/components/ui/chart.tsx", "TypeScript JSX", 332, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 371
"/home/clr/projects/movie-app/components/ui/command.tsx", "TypeScript JSX", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 153
"/home/clr/projects/movie-app/components/ui/dialog.tsx", "TypeScript JSX", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 122
"/home/clr/projects/movie-app/components/ui/donut.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 66
"/home/clr/projects/movie-app/components/ui/dropdown-menu.tsx", "TypeScript JSX", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 206
"/home/clr/projects/movie-app/components/ui/genres-pie-chart.tsx", "TypeScript JSX", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 120
"/home/clr/projects/movie-app/components/ui/input.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/home/clr/projects/movie-app/components/ui/label.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/home/clr/projects/movie-app/components/ui/pagination.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"/home/clr/projects/movie-app/components/ui/popover.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/home/clr/projects/movie-app/components/ui/radial-chart.tsx", "TypeScript JSX", 106, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 120
"/home/clr/projects/movie-app/components/ui/render-stars.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/home/clr/projects/movie-app/components/ui/searchbar.tsx", "TypeScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"/home/clr/projects/movie-app/components/ui/separator.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/home/clr/projects/movie-app/components/ui/sheet.tsx", "TypeScript JSX", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 140
"/home/clr/projects/movie-app/components/ui/table.tsx", "TypeScript JSX", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 121
"/home/clr/projects/movie-app/components/ui/tabs.tsx", "TypeScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"/home/clr/projects/movie-app/components/ui/textarea.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/home/clr/projects/movie-app/components/ui/toast.tsx", "TypeScript JSX", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 129
"/home/clr/projects/movie-app/components/ui/toaster.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/home/clr/projects/movie-app/components/ui/toggle.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
